,album_name,track_title,track_n,lyric,line,negative_emotion,positive_emotion,friends,optimism,speaking,love,pain,violence,listen,children,movement,party,body,family,affection,communication,vacation,home,shame,suffering,Lyric Struct,LS,Element,e,pattern,parts
0,Taylor Swift,Tim McGraw,1,He said the way my blue eyes shined,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[('He', 'PRP'), ('said', 'VBD'), ('the', 'DT'), ('way', 'NN'), ('my', 'PRP$'), ('blue', 'JJ'), ('eyes', 'NNS'), ('shined', 'VBD')]", PRP VBD DT NN PRP$ JJ NNS VBD,Verse 1,1,V,NVANANANV
1,Taylor Swift,Tim McGraw,1,Put those Georgia stars to shame that night,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,"[('Put', 'VB'), ('those', 'DT'), ('Georgia', 'NNP'), ('stars', 'NNS'), ('to', 'TO'), ('shame', 'VB'), ('that', 'DT'), ('night', 'NN')]", VB DT NNP NNS TO VB DT NN,Verse 1,1,V,ANNANA
2,Taylor Swift,Tim McGraw,1,"I said, ""That's a lie""",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[('I', 'PRP'), ('said', 'VBD'), (',', ','), ('``', '``'), ('That', 'DT'), (""'s"", 'VBZ'), ('a', 'DT'), ('lie', 'NN'), (""''"", ""''"")]"," PRP VBD , `` DT VBZ DT NN ''",Verse 1,1,,NVAVANA
3,Taylor Swift,Tim McGraw,1,Just a boy in a Chevy truck,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[('Just', 'RB'), ('a', 'DT'), ('boy', 'NN'), ('in', 'IN'), ('a', 'DT'), ('Chevy', 'NNP'), ('truck', 'NN')]", RB DT NN IN DT NNP NN,Verse 1,1,,AANAAANNA
4,Taylor Swift,Tim McGraw,1,That had a tendency of gettin' stuck,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[('That', 'DT'), ('had', 'VBD'), ('a', 'DT'), ('tendency', 'NN'), ('of', 'IN'), ('gettin', 'NN'), (""'"", 'POS'), ('stuck', 'NN')]", DT VBD DT NN IN NN POS NN,Verse 1,1,,AVANAANANA
5,Taylor Swift,Tim McGraw,1,On back roads at night,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[('On', 'IN'), ('back', 'JJ'), ('roads', 'NNS'), ('at', 'IN'), ('night', 'NN')]", IN JJ NNS IN NN,Verse 1,1,,AANANA
6,Taylor Swift,Tim McGraw,1,And I was right there beside him all summer long,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[('And', 'CC'), ('I', 'PRP'), ('was', 'VBD'), ('right', 'RB'), ('there', 'RB'), ('beside', 'VB'), ('him', 'PRP'), ('all', 'DT'), ('summer', 'NN'), ('long', 'RB')]", CC PRP VBD RB RB VB PRP DT NN RB,Verse 1,1,,NVAANANAA
7,Taylor Swift,Tim McGraw,1,And then the time we woke up to find that summer gone,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[('And', 'CC'), ('then', 'RB'), ('the', 'DT'), ('time', 'NN'), ('we', 'PRP'), ('woke', 'VBD'), ('up', 'RP'), ('to', 'TO'), ('find', 'VB'), ('that', 'DT'), ('summer', 'NN'), ('gone', 'VBN')]", CC RB DT NN PRP VBD RP TO VB DT NN VBN,Chorus,2,,AANANVANAV
8,Taylor Swift,Tim McGraw,1,But when you think Tim McGraw,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[('But', 'CC'), ('when', 'WRB'), ('you', 'PRP'), ('think', 'VBP'), ('Tim', 'NNP'), ('McGraw', 'NNP')]", CC WRB PRP VBP NNP NNP,Chorus,2,,NVNN
9,Taylor Swift,Tim McGraw,1,I hope you think my favorite song,10,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[('I', 'PRP'), ('hope', 'VBP'), ('you', 'PRP'), ('think', 'VBP'), ('my', 'PRP$'), ('favorite', 'NN'), ('song', 'NN')]", PRP VBP PRP VBP PRP$ NN NN,Chorus,2,,NVNVNNANA
