,album_name,track_name,artist,featuring,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode,lyric,negative_emotion,positive_emotion,friends,children,speaking,optimism,family,love,pain,violence,hate
0,Taylor Swift,Tim McGraw,Taylor Swift,,0.58,0.491,0,-6.462,1,0.0251,0.575,0.0,0.121,0.425,76.009,4,232107,False,C,major,C major,"[""he said the way my blue eyes shined put those georgia stars to shame that night i said that's a lie just a boy in a chevy truck that had a tendency of gettin' stuck on backroads at night and i was right there beside him all summer long and then the time we woke up to find that summer gone   but when you think tim mcgraw i hope you think my favorite song the one we danced to all night long the moon like a spotlight on the lake when you think happiness i hope you think that little black dress think of my head on your chest and my old faded blue jeans when you think tim mcgraw i hope you think of me   september saw a month of tears and thankin' god that you weren't here to see me like that but in a box beneath my bed is a letter that you never read from three summers back it's hard not to find it all a little bittersweet and lookin' back on all of that it's nice to believe   when you think tim mcgraw i hope you think my favorite song the one we danced to all night long the moon like a spotlight on the lake when you think happiness i hope you think that little black dress think of my head on your chest and my old faded blue jeans when you think tim mcgraw i hope you think of me   and i'm back for the first time since then i'm standin' on your street and there's a letter left on your doorstep and the first thing that you'll read is when you think tim mcgraw i hope you think my favorite song someday you'll turn your radio on i hope it takes you back to that place   when you think happiness i hope you think that little black dress think of my head on your chest and my old faded blue jeans when you think tim mcgraw i hope you think of me oh think of me mmmm   he said the way my blue eyes shine put those georgia stars to shame that night i said that's a lie""]",2.0,13.0,2.0,5.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0
3,Taylor Swift,A Place In This World,Taylor Swift,,0.576,0.777,9,-2.881,1,0.0324,0.051,0.0,0.32,0.428,115.028,4,199200,False,A,major,A major,"[""i don't know what i want so don't ask me cause i'm still trying to figure it out don't know what's down this road i'm just walking trying to see through the rain coming down even though i'm not the only one who feels the way i do   i'm alone on my own and that's all i know i'll be strong i'll be wrong oh but life goes on oh i'm just a girl trying to find a place in this world   got the radio on my old blue jeans and i'm wearing my heart on my sleeve feeling lucky today got the sunshine could you tell me what more do i need and tomorrow's just a mystery oh yeah but that's ok   i'm alone on my own and that's all i know i'll be strong i'll be wrong oh but life goes on oh i'm just a girl trying to find a place in this world   maybe i'm just a girl on a mission but i'm ready to fly   i'm alone on my own and that's all i know i'll be strong i'll be wrong oh but life goes on oh i'm alone on my own and that's all i know oh i'm just a girl trying to find a place in this world   oh i'm just a girl oh i'm just a girl oh oh oh i'm just a girl""]",7.0,1.0,6.0,6.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0
5,Taylor Swift,The Outside,Taylor Swift,,0.589,0.805,5,-4.055,1,0.0293,0.00491,0.0,0.24,0.591,112.982,4,207107,False,F,major,F major,"[""i didn't know what i would find when i went looking for a reason i know i didn't read between the lines and baby i've got nowhere to go i tried to take the road less traveled by but nothing seems to work the first few times am i right   so how can i ever try to be better nobody ever lets me in i can still see you this ain't the best view on the outside looking in i've been a lot of lonely places i've never been on the outside   you saw me there but never knew i would give it all up to be a part of this a part of you and now it's all too late so you see you could've helped if you had wanted to but no one notices until it's too late to do anything   so how can i ever try to be better nobody ever lets me in i can still see you this ain't the best view on the outside looking in i've been a lot of lonely places i've never been on the outside   oh yeah   so how can i ever try to be better nobody ever lets me in i can still see you this ain't the best view on the outside looking in i've been a lot of lonely places i've never been on the outside   ohoh oh ohoh ohoh ohoh""]",2.0,4.0,3.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0
7,Taylor Swift,Stay Beautiful,Taylor Swift,,0.594,0.629,8,-4.919,1,0.0246,0.0868,0.0,0.137,0.504,131.597,4,236053,False,G#,major,G# major,"[""corey's eyes are like a jungle he smiles it's like the radio he whispers songs into my window in words that nobody knows these pretty girls on every corner they watch him as he's walking home saying does he know will you ever know   you're beautiful every little piece love and don't you know you're really gonna be someone ask anyone and when you find everything you looked for i hope your life will lead you back to my door oh but if it don't stay beautiful   corey finds another way to be the highlight of my day i'm taking pictures in my mind so i can save them for a rainy day it's hard to make a conversation when he's taking my breath away i should say hey by the way   you're beautiful every little piece love and don't you know you're really gonna be someone ask anyone and when you find everything you looked for i hope your life will lead you back to my door oh but if it don't stay beautiful   if you and i are a story that never gets told if what you are is a daydream i'll never get to hold at least you'll know   you're beautiful every little piece love and don't you know you're really gonna be someone ask anyone and when you find everything you looked for i hope your life will lead you back to my front door oh but if it don't will you stay beautiful beautiful beautiful beautiful beautiful beautiful   la la la oh oh oh oh oh but if it don't stay beautiful stay beautiful na na na na na""]",1.0,6.0,4.0,3.0,6.0,6.0,1.0,3.0,0.0,0.0,0.0
10,Taylor Swift,Our Song,Taylor Swift,,0.668,0.672,2,-4.931,1,0.0303,0.111,0.0,0.329,0.539,89.011,4,201107,False,D,major,D major,"[""i was riding shotgun with my hair undone in the front seat of his car he's got a onehand feel on the steering wheel the other on my heart i look around turn the radio down he says baby is something wrong i say nothing i was just thinking how we don't have a song and he says   our song is the slamming screen door sneakin' out late tapping on your window when we're on the phone and you talk real slow 'cause it's late and your mama don't know our song is the way you laugh the first date man i didn't kiss her and i should have and when i got home 'fore i said amen asking god if he could play it again   i was walking up the front porch steps after everything that day had gone all wrong and been trampled on and lost and thrown away got to the hallway well on my way to my lovin' bed i almost didn't notice all the roses and the note that said   our song is the slamming screen door sneakin' out late tapping on your window when we're on the phone and you talk real slow 'cause it's late and your mama don't know our song is the way you laugh the first date man i didn't kiss her and i should have and when i got home 'fore i said amen asking god if he could play it again   i've heard every album listened to the radio waited for something to come along that was as good as our song   'cause our song is the slamming screen door sneakin' out late tapping on his window when we're on the phone and he talks real slow 'cause it's late and his mama don't know our song is the way he laughs the first date man i didn't kiss him and i should have and when i got home 'fore i said amen asking god if he could play it again play it again   i was riding shotgun with my hair undone in the front seat of his car i grabbed a pen and an old napkin and i wrote down our song""]",4.0,0.0,0.0,1.0,5.0,0.0,4.0,4.0,1.0,1.0,0.0
12,Taylor Swift,Invisible,Taylor Swift,,0.612,0.394,7,-5.723,1,0.0243,0.637,0.0,0.147,0.233,96.001,4,203227,False,G,major,G major,"[""she can't see the way your eyes light up when you smile she'll never notice how you stop and stare whenever she walks by  pre and you can't see me wanting you the way you want her but you are everything to me   and i just wanna show you she don't even know you she's never gonna love you like i want to and you just see right through me but if you only knew me we could be a beautiful miracle unbelievable instead of just invisible   there's a fire inside of you that can't help but shine through she's never gonna see the light no matter what you do  pre and all i think about is how to make you think of me and everything that we could be   i just wanna show you she don't even know you she's never gonna love you like i want to and you just see right through me if you only knew me we could be a beautiful miracle unbelievable instead of just invisible   like shadows in a faded light oh we're invisible i just wanna open your eyes and make you realize    variation i just wanna show you she don't even know you baby let me love you let me want you you just see right through me but if you only knew me we could be a beautiful miracle unbelievable instead of just invisible   she can't see the way your eyes light up when you smile""]",1.0,3.0,3.0,1.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0
13,Taylor Swift,A Perfectly Good Heart,Taylor Swift,,0.483,0.751,4,-5.726,1,0.0365,0.00349,0.0,0.128,0.268,156.092,4,220147,False,E,major,E major,"[""why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break a perfectly good heart  verse maybe i should've seen the signs should've read the writing on the wall and realized by the distance in your eyes that i would be the one to fall no matter what you say i still can't believe that you would walk away it don't make sense to me but   why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break a perfectly good heart   it's not unbroken anymore how do i get it back the way it was before   why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break why would you wanna break it why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break a perfectly good heart""]",9.0,4.0,4.0,0.0,1.0,4.0,0.0,5.0,9.0,0.0,0.0
15,The Taylor Swift Holiday Collection,Last Christmas,Taylor Swift,,0.702,0.77,5,-5.319,1,0.0372,0.31,0.0,0.149,0.685,116.009,4,208253,False,F,major,F major,"[""last christmas i gave you my heart but the very next day you gave it away this year to save me from tears i will give it to someone special   once bitten and twice shied i keep my distance but you still catch my eye tell me baby do you recognize me well it has been a year it does not surprise me merry christmas i wrapped it up and sent it with a note saying 'i love you' i meant it now i know what a fool i've been but if you kiss me now i know you would fool me again   last christmas i gave you my heart but the very next day you gave it away this year to save me from tears i will give it to someone special last christmas i gave you my heart but the very next day you gave it away this year to save me from tears i will give it to someone special   a crowded room and friends with tired eyes i am hiding from you and your soul of ice my god i thought you were someone to rely on me i guess i was a shoulder to cry on a face on a lover with a fire in his heart a girl on a cover but you tore her apart maybe this year maybe this year i will give it to someone special   because last christmas i gave you my heart but the very next day you gave it away this year to save me from tears i will give it to someone special last christmas i gave you my heart but the very next day you gave it away this year to save me from tears i will give it to someone special  and last christmas and this year it won't be anything like anything like  last christmas i gave you my heart but the very next day you gave it away this year to save me from tears i will give it to someone special""]",1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0
16,The Taylor Swift Holiday Collection,Christmases When You Were Mine,Taylor Swift,,0.625,0.206,7,-12.568,1,0.0285,0.646,0.0,0.0915,0.392,79.466,4,184253,False,G,major,G major,"[""please take down the mistletoe 'cause i don't want to think about that right now 'cause everything i want is miles away in a snow covered little town my momma's in the kitchen worrying about me season's greetings hope you're well well i'm doing alright if you were wondering lately i can never tell   i know this shouldn't be a lonely time but there were christmases when you were mine   i've been doing fine without you really up until the nights got cold and everybody's here except you baby seems like everyone's got someone to hold   but for me it's just a lonely time 'cause there were christmases when you were mine   merry christmas everybody that'll have to be something i just say this year i'll bet you got your mom another sweater and were your cousins late again when you were putting up the lights this year did you notice one less pair of hands   i know this shouldn't be a lonely time but there were christmases when i didn't wonder how you are tonight 'cause there were christmases when you were mine   you were mine""]",0.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
17,The Taylor Swift Holiday Collection,Santa Baby,Taylor Swift,,0.759,0.509,5,-6.593,1,0.0271,0.159,0.0,0.153,0.75,107.948,4,158600,False,F,major,F major,"[""santa baby slip a sable under the tree for me i have been an awful good girl santa baby so hurry down the chimney tonight   santa baby a '54 convertible too light blue well i will wait up for you dear santa baby so hurry down the chimney tonight yeah   think of all the fun i have missed think of all the boys i have not kissed next year i could be just as good if you check off my christmas list   santa baby i want a yacht and really that is not a lot i have been an angel all year santa baby so hurry down the chimney tonight   santa honey there is one more thing i really do need the deed to a platinum mine santa honey so hurry down the chimney tonight   come and trim my christmas tree with some decorations bought at tiffany's i really do believe in you let us see if you believe in me   santa baby forgot to mention one little thing a ring and i do not mean on the phone santa baby so hurry down the chimney tonight""]",1.0,0.0,2.0,11.0,1.0,1.0,8.0,0.0,0.0,1.0,1.0
